,0
161,がまもなくやってきて、「これはほんの御礼ごころです」といって差出しました。どうも五、六百両はあります。「なんだいこれは…」
162,やけにハイテンションなのも気になる。でも、今の俺は目の前に差出されたものを受け止めるだけで、いっぱいいっぱいだった。アルバムを貰っていったん部屋
163,た。ブライアンが思いきり振ったバットは、ボールを真芯でとらえた。ボールは内野手たちが差出したグローブを越え、きれいな線を描いて外野の草むらまで飛んだ。「
164,。さあ、手を出すんだ」二人はＫに向かって、いそいそと手を差出した。「毛むくじゃらは引っこめろ」と、Ｋは言った。「しかし、命令
165,もむしろ命令―の構成は大ざっぱなものである。信者は自分の何を犠牲に差出すかによって、四つの等級に振り分けられる。差出すものは、命、財産、ハレム、
166,翌朝、龍馬は住職に日頃の礼を述べ、一分金十数個を布施として差出したのち、金蔵院を出て二条熊野神社に隣りあう、越前松平屋敷をおとずれた。藩主松平茂昭の側役
167,ことに気づいた私は、アタッシェケースをひらき、持ってきていた文庫版のエッセイ集を差出した。「私が書いたものです。著者と名刺の名前が同じでしょう」
168,データリーダーに青いサインが点灯した。司法省の職員は、身分証と乗船チケットをメルツァーに差出して言った。「ようこそ、エルサルク星系に。ウィルフレッド・ストークスさん、入国目的は観光ですね？
169,間。素早くそれだけ見てとった北坂は、いったん椅子に掛け、ボーイが差出したメニューを受取った。革表紙のメニューを開き、その陰から再び男の顔
170,たい」鉄男は曖昧にヒカルから視線をはずした。ヒカルは丸めた札を差出した。鉄男は無言で受けとった。「鉄男さん」「なんだ。礼なら
171,箱を取り出した。なんと、ストロベリーチョコだった。佐伯は箱を開けてから私に差出した。私は箱から二つ抜き取って、サンシロウに一つ渡した。サンシロウは、
172,に、突然、黒龍会の葛生能久が一万円を持って駆けつけてきた。そして白紙を差出し、これにサインをすればその金をわたすと告げた。何のためのサイン
173,。「この服を着ますか？」瀬川さんに機関士の服と帽子を差出された。中国の人民服のようだけど、せっかくだから着用してみた。意外に
174,いずれは迎えることになるだろう。今、兄姫惺はこの蜀第一の権臣なのだ。娘を差出して繫がっておこうという者が少なかろうはずはない。まして現在、楚姫にただ一人だけいる
175,口利きが気に喰わんだけのことだ」アルバンは寝台から起き上がり、マッサージ師の差出すローブに腕を通した。「ベフデティめ…いつかその口にジェル・アーの砂でも
176,ほうり投げた。瑠璃はそれにむしゃぶりつく。「ほら」荒くれ者は、革袋を差出す。水も飲めと言っているのだ。「ありがとう。やさしいのね」「
177,もいる。子どもたちのひとりが細い葉の植物を地面から抜いて目の前に差出した。野葱だという。茎の下に直径一センチほどの丸い根がついている
178,めくって封筒を手に取り、そこから大型の写真を出して僕の前に差出すようにして置いた。僕はその三枚の写真を手にとって見た。白黒
179,階段を下りてきた。ああ、記憶どおりだ。やっぱり彼女はいかしてる。手を差出した彼は、ナオミがまだ携帯電話を握っていることに気づき、にやりと笑った。
180,はなぜか、打ち明けるつもりはなかった。彼を心から愛しているから、すべてを差出しても惜しくなかったなんて、口が裂けてもいまは言えない。それはキャシー
181,を最優先に考える新政府軍の態度は、あくまで丁重だった。「いっさいの兵具を差出したならば、もちろんお構いなしだが、あなたは隊長だから一応、本営に出頭して
182,結んで太后を売ったりしませんと、二人の娘をむしろ人質の意味で差出したのだ。喜んで答えた。「いいわねえ、一緒にお出で。阿瑪
183,。「どうぞ」、そして頬杖をついていた手をはずして、僕の前に差出した。僕は彼女の手をとり、ちょうど手相を見る時のように、
184,が十億の手形を十枚差出すと松浦も日付を十日ずらした十億の保証手形十枚を差出した。もちろん松浦が差出した保証手形は野上専務によって事前に調査されており、いまのところ
185,」「え？」大地はひかるの目の前に、スペシャルエッセンスの小瓶を差出した。「この薬をボールにいっぱいに振りかけるんだ…」「？」
186,た。一ウォンに相当する黒の碁石。それはミンスが初めて未知の世界に向かって差出したベットだった。ほかのメンバーがわっとついてきた。胸がどきどきした
187,をするべきか、手の甲にキスするべきか、チェルサにはわからなかった。結局、差出された手を礼儀正しく握りかえすにとどめる。「突然押しかけてきたうえ、猫まで
188,でも、ひったくりに遇うのを恐れているように見えた。パパは彼女が差出していた紙を読んだ。それから非常にゆっくりした声で、お役に立てれば嬉しい
